Name,Latittude,Longitude,State,License ,Launch Type,Ownership Type
Huntsville International Air and Space Port,34.6372,-86.775,Alabama,FAA,Orbital Entry,Private
Pacific Spaceport Complex,57.43542964,-152.3393637,Alaska,FAA,Vertical,Private
Mojave Air and Space Port,35.05697619,-118.1573849,California,FAA,Horizontal,Private
Vandenberg Space Force Base,34.75217526,-120.5258407,California,FAA and Federal,Vertical and Horizontal,Military
Colorado Air and Spaceport,39.79021622,-104.5493644,Colorado ,FAA,Horizontal,Private
Cape Canaveral Spaceport Station,28.49625821,-80.60324654,Florida,Federal,Vertical and Horizontal,Military and Federal
Kennedy Space Center (NASA),28.57767175,-80.64241426,Florida,Federal,Vertical and Horizontal,Federal
Space Florida Launch Complex 46,28.45864169,-80.52782395,Florida,FAA,Vertical,Private
Space Florida Launch and Landing Facility,28.61460847,-80.69335699,Florida,FAA,Horizontal and Orbital reentry,Private
Cecil Air and Space Port,30.22166643,-81.88034955,Florida,FAA,Horizontal,Private
Space Coast Regional Airport,28.51349446,-80.79820049,Florida,FAA,Horizontal,Private
Spaceport Camden,30.9275,-81.5147,Georgia,FAA,Vertical,Private
Spaceport America,32.99093875,-106.9752849,New Mexico,FAA,Horizontal and Vertical,Private
Oklahoma Spacesport,35.35304248,-99.19513025,Oklahoma,FAA,Horizontal,Private
"Launch Site One West Texas, Blue Origin",31.3946136,-104.7556777,Texas,,Private Exclusive Use,Private
"Boca Chica, Space X",25.99808669,-97.15747154,Texas,,Private Exclusive Use,Private
Houston Spaceport (Ellington Airport),29.60404997,-95.17547175,Texas,FAA,Horizontal,Private
Midland Spaceport,31.94184783,-102.2045137,Texas,FAA,Horizontal,Private
Mid-Atlantic Regional Spaceport,37.93215346,-75.48144036,Virginia,FAA and Federal,Horizontal,Federal and State 
Wallops Flight Facility,37.93323854,-75.47206771,Virginia,FAA,Horizontal,Federal
